Company,JobTitle,Location,Salary,Level,Type,Phone,Mail,Facebook,Twitter,Extra,Date,Link
 Том-АмжилтАмжи,Ахлах веб хөгжүүлэгч,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 20-р хороо Номин Юнайтед их дэлгүүрийн зүүн талд Цэлмэг технологийн сургууль","2,500,000 - 3,000,000",Дунд шатны удирдлага,Бүтэн цагийн,8080-1779, ,,amjiltcom,amjiltcom, ,"2022-04-09 18:42
",https://www.zangia.mn/job/_b_nmcn8hpm
 Том-АмжилтАмжи,Веб хөгжүүлэгч,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 20-р хороо Номин Юнайтед их дэлгүүрийн зүүн талд Цэлмэг технологийн сургууль","1,200,000 - 1,500,000",Мэргэжилтэн,Бүтэн цагийн,8080-1779, ,,amjiltcom,amjiltcom, ,"2022-04-09 18:38
",https://www.zangia.mn/job/_onesv2p3vb
 Топика ХХКМонг,Байгууллага хариуцсан борлуулалтын менежер,"Монгол улс, Улаанбаатар хот, Чингэлтэй дүүрэг, 1-р хороо, 3А оффис байр","1,200,000 - 1,500,000",Дунд шатны удирдлага,Бүтэн цагийн,7012-5002,11314582,,#, , ,"2022-04-08 19:50
",https://www.zangia.mn/job/_yjs7wd1-tl
 Тэсо ГруппЧөлө,Мэдээлэл технологийн инженер,"Монгол улс, Улаанбаатар хот, Монгол улс, Улаанбаатар хот СХД 18-р хороо, Энхтайвны өргөн чөлөө-157, ТЭСО корпораци","1,500,000 - 1,800,000",Мэргэжилтэн,Бүтэн цагийн,8803-4025, ,,TESOcorp,teso.mn, ,"2022-04-08 18:11
",https://www.zangia.mn/job/_acpwd_0ui1
 Скайтел ХХКИРЭ,ДАМЖУУЛАХ СҮЛЖЭЭНИЙ ИНЖЕНЕР,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 1-р хороо, Чингисийн өргөн чөлөө-9, 
Скайтел плаза","1,000,000 - 1,200,000",Мэргэжилтэн,Бүтэн цагийн,9112-0202, ,,skytelofficial,SkytelOfficial, ,"2022-04-05 15:02
",https://www.zangia.mn/job/_f-isw4+v-8
 Арш Технологи ,ИНЖЕНЕР,"Монгол улс, Улаанбаатар хот, Чингэлтэй дүүрэг, Монгол улс, Улаанбаатар хот-16051, Чингэлтэй дүүрэг, Их тойруу гудамж-15150, Премиум Палас, 514 тоот","1,200,000 - 1,500,000Тохиролцоно", ,Бүтэн цагийн,"8001-8813, 7557-1414", ,,ArshTechLLC, , ,"2022-04-08 17:36
",https://www.zangia.mn/job/_vkyhb9z4je
 Глобал Нэгдэл ,Мэдээлэл Технологийн Инженер,"Улаанбаатар 16052, Баянгол дүүрэг, Энхтайваны өргөн чөлөө, УБ Платинум барилга 5 давхар","1,200,000 - 1,500,000",Мэргэжилтэн,Бүтэн цагийн,"7511-5577, 7511-5151, 9402-9432", ,,gssmongolia, , ,"2022-04-08 14:48
",https://www.zangia.mn/job/_qr9eyeweuy
"""Ай Эн Мобайл Нэтворк"" ХХК",Хэрэглэгчийн гомдол барагдуулах инженер,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 1-р хороо","1,000,000 - 1,200,000Тохиролцоно",Мэргэжилтэн,Бүтэн цагийн,7211-010 /0101/, ,,ondo.mn, ,"Гүйцэтгэх үндсэн үүрэг
Хэрэглэгчийн гэмтэл саатал гомдолыг цаг алдалгүй шийдвэрлэж, хэвийн ажиллагаагаар хангах
Интернэтийн төхөөрөмжийн гэмтэл саатлыг заасварлах чадвартай
И-сим, биет симтэй ажиллах
Сүлжээний хяналтын төвийн ээлжийн инженерүүдтэй байнгын холбоотой ажиллах
Хэрэглэгчийн гомдолыг шуурхай барагдуулахын тулд ажлын зохион байгуулалт сайтай ажиллах
","2022-04-08 14:17
",https://www.zangia.mn/job/_n39kq5na5c
 Таван Богд Гру,ML\BI ахлах инженер,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 3-р хороо, үйлдвэрийн гудамж, Гоёо төв байр","4,000,000 - 5,000,000",Дунд шатны удирдлага,Бүтэн цагийн,9902-7086, ,,TavanBogdGroup, , ,"2022-04-08 10:26
",https://www.zangia.mn/job/_0hi96bly11
 Таван Богд Гру,Support help desk,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 3-р хороо, үйлдвэрийн гудамж, Гоёо төв байр","2,100,000 - 2,500,000",Мэргэжилтэн,Бүтэн цагийн,9902-7086, ,,TavanBogdGroup, , ,"2022-03-29 08:49
",https://www.zangia.mn/job/_4qm6ys+dt3
